No. Of Ads,Ranking,,Keywords,Header,Text,URL,Location,Timestamp
2,2,1,Baltimore Japanese restaurant,Bing ™ Search Local,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269052319
1,1,1,Baltimore Korean restaurant,Baltimore Korean Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269050917
1,1,1,Baltimore Mexican restaurant,Baltimore Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269152753
1,1,1,Baltimore Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,baltimore.local.com,"Baltimore, MD",1269140711
2,1,0.5,Baltimore romantic restaurant,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Maryland,1269154063
2,2,1,Baltimore romantic restaurant,Valentine&#39;s Day Dining,Find Reviews &amp; Listings for Romantic Restaurants in Baltimore ,yellowpages.com,"Baltimore, MD",1269154063
1,1,1,Baltimore Spanish restaurant,Baltimore Spanish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269152173
2,1,0.5,Baltimore Steak restaurant,Fleming&#39;s in Baltimore,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Maryland,1269054185
2,2,1,Baltimore Steak restaurant,Steak restaurant,Find steak restaurant here. We offer local search in your area. ,baltimore.local.com,"Baltimore, MD",1269054185
1,1,1,Baltimore Steakhouse restaurant,Fleming&#39;s in Baltimore,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Maryland,1269053274
1,1,1,Baltimore Sushi restaurant,"Sullivan&#39;s Baltimore, MD","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.SullivanSteakHouse.com,,1269051753
1,1,1,Baltimore Tapas restaurant,Baltimore Tapas Bars,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269150827
1,1,1,Baltimore Thai restaurant,Thai Restaurants,"Search Our Restaurants Listings For Thai Diners, Delivery &amp; Take-Out! ",yellowpages.com,"Baltimore, MD",1269049590
1,1,1,Baltimore Vegan restaurant,Baltimore Vegan Restaurant,Baltimore Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269055498
1,1,1,Baltimore Vegetarian restaurant,Baltimore Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269054713
1,1,1,Baltimore Wine Bar restaurant,"Sullivan&#39;s Baltimore, MD","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.SullivanSteakHouse.com,,1269133094
1,1,1,Boston Bar restaurant,JA Stats Restaurant &amp; Bar,Half Price Appetizers Every Monday Through Friday. Stop By Today! ,JAStats.com,"Boston, MA-Manchester, NH",1269132577
3,1,0.333333333,Boston best restaurant,Fleming&#39;s in Boston,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Massachusetts,1269155474
3,2,0.666666667,Boston best restaurant,Boston Best Restaurant,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Boston, MA-Manchester, NH",1269155474
3,3,1,Boston best restaurant,Providence Restaurants,Awarded Best Italian Wine List Pane e Vino-Historic Federal Hill ,www.panevino.net,"Boston, MA",1269155474
3,1,0.333333333,Boston Brazilian steakhouse,Steakhouse Boston,One of Boston&#39;s Finest Dining Experiences. Book Your Table Today! ,TheOakRoom.com,"Boston, MA-Manchester, NH",1269148709
3,2,0.666666667,Boston Brazilian steakhouse,Brazilian Restaurant Menu,Order Delivery Or Take Out From Brazilian Restaurants In Boston. ,www.AllMenus.com,"Boston, MA",1269148709
3,3,1,Boston Brazilian steakhouse,Boston Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148709
2,1,0.5,Boston Chinese restaurant,Order takeout or delivery,"Over 375 Boston-area delivery menus Pizza, Chinese, Indian, and more! ",www.foodler.com,"Boston, MA",1269050348
2,2,1,Boston Chinese restaurant,Boston Chinese Restaurant,Find Local Listings and Information for Boston Chinese Restaurant ,www.Yellowise.com,"Boston, MA",1269050348
1,1,1,Boston Ethiopian restaurant,Ethiopian Restaurant Menu,Order Delivery Or Take Out Ethiopian Restaurants In Boston ,www.AllMenus.com,"Boston, MA",1269056910
3,1,0.333333333,Boston fine dining restaurant,Boston Fine Dining Restaurant,One of Boston&#39;s Finest Dining Experiences. Book Your Table Today! ,TheOakRoom.com,"Boston, MA-Manchester, NH",1269153545
3,2,0.666666667,Boston fine dining restaurant,Ruth&#39;s Chris Steak House,The greatest steak you&#39;ve ever had. Reserve your Boston table now. ,www.ruthschris.com/boston,,1269153545
3,3,1,Boston fine dining restaurant,Providence Restaurants,Awarded Best Italian Wine List Pane e Vino-Historic Federal Hill ,www.panevino.net,"Boston, MA",1269153545
3,1,0.333333333,Boston French restaurant,Boston French Restaurant,Enjoy Delicious French Cuisine At The Brasserie Jo In Boston! ,BrasserieJoBoston.com,,1269147336
3,2,0.666666667,Boston French restaurant,Boston French Restaurant,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"Boston, MA-Manchester, NH",1269147336
3,3,1,Boston French restaurant,French Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269147336
1,1,1,Boston Greek restaurant,Greek Restaurants Menu,"Order Delivery Or Take Out Greek Food In Boston, Massachusetts ",www.AllMenus.com,"Boston, MA",1269148136
1,1,1,Boston Indian restaurant,Boston Indian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269056097
2,1,0.5,Boston Italian restaurant,Italian Restaurants,Look for Top-Rated Italian Restaurants near you. ,Boston.Citysearch.com,"Boston, MA",1269048924
2,2,1,Boston Italian restaurant,Boston Italian Restaurant,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"Boston, MA-Manchester, NH",1269048924
2,1,0.5,Boston Japanese restaurant,sushi restaurant boston,Good decent sushi GREAT selection Best selections in the Boston ,www.villagesushiandgrill.com,"Boston, MA-Manchester, NH",1269052329
2,2,1,Boston Japanese restaurant,Boston Dining,Looking for great Japanese food? Review our local restaurant lists. ,Yellowbook.com,,1269052329
1,1,1,Boston Korean restaurant,Boston Korean Restaurant,Boston Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050931
1,1,1,Boston Mexican restaurant,Boston Mexican Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269152759
2,1,0.5,Boston Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269140717
2,2,1,Boston Middle Eastern restaurant,Middle Eastern Food Menu,"Order Food Online From Restaurants In &amp; Around Boston, Massachusetts! ",www.AllMenus.com,"Boston, MA",1269140717
3,1,0.333333333,Boston romantic restaurant,Boston Romantic Hotel,"Elegant Rooms, Suites &amp; Back Bay Setting. Experience the New Luxury. ",www.MandarinOriental.com,"776 Boylston Street, Boston, MA 02199",1269154071
3,2,0.666666667,Boston romantic restaurant,Restaurant romantic boston,Pairings Boston - celebrate the relationship between food &amp; drink. ,www.pairingsboston.com,"Boston, MA-Manchester, NH",1269154071
3,3,1,Boston romantic restaurant,Feng Shui Restaurant,Sushi. Chinese. Buffet . Bar. Party Fine Asian Dining and Lounge ,www.FengShuiCohasset.com,"380 Chief Justice Cushing Hwy, Cohasset",1269154071
1,1,1,Boston Spanish restaurant,Boston Spanish Restaurant,Boston Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269152187
2,1,0.5,Boston Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054196
2,2,1,Boston Steak restaurant,Oak Room Restaurant,Read reviews for this Hotel &amp; find more Hotel &amp; Motel Information ,Boston.Citysearch.com,,1269054196
2,1,0.5,Boston Steakhouse restaurant,Fleming&#39;s in Boston,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Massachusetts,1269053284
2,2,1,Boston Steakhouse restaurant,Oak Room Restaurant,Read reviews for this Hotel &amp; find more Hotel &amp; Motel Information ,Boston.Citysearch.com,,1269053284
2,1,0.5,Boston Sushi restaurant,Sushi-Teq Boston,Flavorful Sushi. Specialty Drinks. Intoxicating Mix of Sushi &amp; Salsa. ,www.InterContinentalBoston2010.com,,1269051767
2,2,1,Boston Sushi restaurant,Boston Restaurant sushi,Find restaurant sushi here. We offer local search in your city. ,boston.local.com,"Boston, MA",1269051767
1,1,1,Boston Tapas restaurant,Boston Tapas Bars,Boston Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269150838
2,1,0.5,Boston Thai restaurant,Boston Thai Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269049602
2,2,1,Boston Thai restaurant,Thai Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269049602
2,1,0.5,Boston Vegan restaurant,Veg Food in Boston,Find veg-friendly restaurants and shopping in Boston ,www.VegGuide.Org,,1269055507
2,2,1,Boston Vegan restaurant,Vegan Restaurant,Looking For Vegan Restaurant? Find It By Location With Local.com! ,Local.com,"Boston, MA",1269055507
1,1,1,Boston Vegetarian restaurant,Vegan Boston Dining Guide,Restaurant listings and reviews provided for and by users at ,bostonvegan.org,,1269054720
1,1,1,Charlotte Bar restaurant,Charlotte Bar Menu,Read Local review on Bar Menu on Citysearch. Try it now! ,charlotte.Citysearch.com,,1269132545
2,1,0.5,Charlotte best restaurant,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269155449
2,2,1,Charlotte best restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations ",www.sullivansteakhouse.com,,1269155449
2,1,0.5,Charlotte Brazilian steakhouse,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148678
2,2,1,Charlotte Brazilian steakhouse,Charlotte Brazilian Restaurant,Charlotte Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148678
2,1,0.5,Charlotte Chinese restaurant,Charlotte Chinese Restaurant,Charlotte Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050307
2,2,1,Charlotte Chinese restaurant,Soho Bistro Charlotte NC,Authentic Chinese Food Takeout and Delivery to Uptown area ,www.Uptown2Go.com,"Charlotte, NC",1269050307
3,1,0.333333333,Charlotte fine dining restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269153522
3,2,0.666666667,Charlotte fine dining restaurant,Benihana Steakhouse,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269153522
3,3,1,Charlotte fine dining restaurant,Fine Dining Restaurants,Three &amp; Four Star Dining Near You. Search Our Restaurant Listings Now! ,yellowpages.com,"Charlotte, NC",1269153522
1,1,1,Charlotte French restaurant,Charlotte French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269147305
1,1,1,Charlotte Greek restaurant,Charlotte Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148109
1,1,1,Charlotte Indian restaurant,Best Indian Food,Indian Fusion 704-754-3556 Cafe Nirvana - Ballantyne ,cafenirvana.net/,"Charlotte, NC",1269056057
1,1,1,Charlotte Irish bar restaurant,Charlotte Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269133992
1,1,1,Charlotte Italian restaurant,Charlotte Italian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269048884
2,1,0.5,Charlotte Japanese restaurant,Charlotte Japanese Food,Hungry? Visit Nakato Today for Japanese Sushi and Teppan Yaki. ,nakatojapaneserestaurant.com,"Charlotte, NC",1269052300
2,2,1,Charlotte Japanese restaurant,Japanese restaurant,Find japanese restaurant here. We offer local search in your area. ,charlotte.local.com,"Charlotte, NC",1269052300
1,1,1,Charlotte Mediterranean restaurant,Mediterranean Restaurants,Search Our Restaurants Listings For Mediterranean Cafes &amp; Delivery! ,yellowpages.com,"Charlotte, NC",1269142559
1,1,1,Charlotte Mexican restaurant,Charlotte Mexican Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269152737
3,1,0.333333333,Charlotte romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154040
3,2,0.666666667,Charlotte romantic restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269154040
3,3,1,Charlotte romantic restaurant,Romantic Places Charlotte,"Romantic restaurants, cafes, and things to do in Charlotte ",www.centerd.com,,1269154040
1,1,1,Charlotte Spanish restaurant,Charlotte Spanish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269152148
3,1,0.333333333,Charlotte Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054168
3,2,0.666666667,Charlotte Steak restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269054168
3,3,1,Charlotte Steak restaurant,Steak restaurant,Find steak restaurant here. We offer local search in your area. ,charlotte.local.com,"Charlotte, NC",1269054168
3,1,0.333333333,Charlotte Steakhouse restaurant,Fleming&#39;s North Carolina,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,North Carolina,1269053246
3,2,0.666666667,Charlotte Steakhouse restaurant,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053246
3,3,1,Charlotte Steakhouse restaurant,"Sullivan&#39;s Charlotte, NC","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269053246
2,1,0.5,Charlotte Sushi restaurant,Sushi Restaurants,Find Sushi Restaurants &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Charlotte, NC",1269051733
2,2,1,Charlotte Sushi restaurant,Charlotte - Restaurant Sushi,Find Restaurant sushi in Charlotte&#39;s Online Local Search ,www.local.com,"Charlotte, NC",1269051733
1,1,1,Charlotte Tapas restaurant,Charlotte Tapas Bars,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269150806
1,1,1,Charlotte Thai restaurant,Charlotte Thai Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269049577
2,1,0.5,Charlotte Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055484
2,2,1,Charlotte Vegan restaurant,Vegetarian Restaurants,Find user-reviewed Vegetarian Dining in your city or zip code! ,charlotte.Citysearch.com,"Charlotte, NC",1269055484
2,1,0.5,Charlotte Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054699
2,2,1,Charlotte Vegetarian restaurant,Vegetarian Restaurants,Find user-reviewed Vegetarian Dining in your city or zip code! ,charlotte.Citysearch.com,"Charlotte, NC",1269054699
1,1,1,Charlotte Wine Bar restaurant,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269133074
1,1,1,Chicago Bar restaurant,Chicago Restaurants,Find local restaurants in the Chicago area. ,www.DexKnows.com,,1269132384
4,1,0.25,Chicago best restaurant,Top Chicago Restaurant,A Grand 1940s Dinner Club. View Wildfire&#39;s Delicious Menu ,www.wildfirerestaurant.com,,1269155301
4,2,0.5,Chicago best restaurant,Lawry&#39;s The Prime Rib,Chicago&#39;s top prime rib steakhouse. Book dinner online today. ,www.LawrysOnline.com,,1269155301
4,3,0.75,Chicago best restaurant,Best Restaurant,Persian &amp; Mediterranean Cuisine. Visit Us or Call (312) 265-3388. ,www.RezasRestaurant.com,"Chicago, IL",1269155301
4,4,1,Chicago best restaurant,Flemings Prime Steakhouse,Reserve online for the best prime steak and wine in the Chicago area. ,FlemingsSteakhouse.com,"Chicago, IL",1269155301
1,1,1,Chicago Brazilian steakhouse,Chicago Capoeira Classes,"Fight, Music, Dance, and Acrobatics 1st Month is 50% OFF, No Contracts! ",www.axechicago.com,"1102 N Ashland Ave., Chicago, IL 60622",1269148521
3,1,0.333333333,Chicago Chinese restaurant,Chicago Chinese Restaurant,"Over 2,000 Chicago Restaurants that Deliver. Order On-Line or by Phone! ",www.GrubHub.com,,1269050153
3,2,0.666666667,Chicago Chinese restaurant,Golden Wok Restaurants,"Special Lent Menu, Chinese Cuisine Glen Ellyn &amp; LaGrange Park location ",www.goldenwok.us,,1269050153
3,3,1,Chicago Chinese restaurant,Upscale Dining - Chicago,"Chicago&#39;s Premier Restaurants, Dining Events, Wine Tastings &amp; More ",www.StyleChicago.com,,1269050153
